Stock:   CAT
Current Date: 2019-09-06
Current Close:  122.70
Market Days  Start Date  Close Price  Up Days  Down Days   Gain  Pct Gain  Max Close  Avg Close
-----------  ----------  -----------  -------  ---------   ----  --------  ---------  ---------
          5  2019-08-30    119.00        2        3        3.70     3.11%     122.99     120.16
         10  2019-08-23    114.06        4        6        8.64     7.57%     122.99     117.53
         20  2019-08-09    119.38        7       13        3.32     2.78%     122.99     117.35
         50  2019-06-27    135.50       21       29      -12.80    -9.45%     139.64     126.63
        100  2019-04-16    142.03       51       49      -19.33   -13.61%     143.36     128.50
        200  2018-11-19    125.98      100       99       -3.28    -2.60%     143.36     130.03
        500  2017-09-12    120.94      254      245        1.76     1.46%     170.89     138.51
       1000  2015-09-17     74.06      511      486       48.64    65.68%     170.89     112.04
