Stock:   WMT
Current Date: 2019-09-06
Current Close:  114.73
Market Days  Start Date  Close Price  Up Days  Down Days   Gain  Pct Gain  Max Close  Avg Close
-----------  ----------  -----------  -------  ---------   ----  --------  ---------  ---------
          5  2019-08-30    114.26        2        3        0.47     0.41%     115.91     115.00
         10  2019-08-23    110.83        4        5        3.90     3.52%     115.91     113.70
         20  2019-08-09    107.28        7       12        7.45     6.94%     115.91     111.93
         50  2019-06-27    110.10       20       28        4.63     4.21%     115.91     111.82
        100  2019-04-16    102.93       50       48       11.80    11.46%     115.91     107.93
        200  2018-11-19     96.78      103       95       17.95    18.55%     115.91     102.14
        500  2017-09-12     79.61      255      242       35.12    44.12%     115.91      95.80
       1000  2015-09-17     64.47      524      467       50.26    77.96%     115.91      82.84
