Stock:  cat
Current Date: 2019-09-06
Current Close:  122.7
Market Days  Start Date  Close Price  Up Days  Down Days   Gain  Pct Gain  Max Close  Avg Close
-----------  ----------  -----------  -------  ---------   ----  --------  ---------  ---------
          5  2019-08-30        119        2        3     3.70     0.03%     122.99     120.16
         10  2019-08-23     114.06        4        6     8.64     0.08%     122.99     117.53
         20  2019-08-09     119.38        7       13     3.32     0.03%     122.99     117.35
         50  2019-06-27     135.50       21       29    -12.80    -0.09%     139.64     126.63
        100  2019-04-16     142.03       51       49    -19.33    -0.14%     143.36     128.50
        200  2018-11-19     125.98      100       99    -3.28    -0.03%     143.36     130.03
        500  2017-09-12     120.94      254      245     1.76     0.01%     170.89     138.51
       1000  2015-09-17      74.06      511      486    48.64     0.66%     170.89     112.04
