Stock:   MSFT
Current Date: 2019-09-06
Current Close: $139.10
Market Days  Start Date  Close Price  Up Days  Down Days   Gain  Pct Gain  Max Close  Avg Close
-----------  ----------  -----------  -------  ---------   ----  --------  ---------  ---------
          5  2019-08-30    137.86        2        3        1.24     0.90%     140.05     138.14
         10  2019-08-23    133.39        5        5        5.71     4.28%     140.05     136.89
         20  2019-08-09    137.71        9       11        1.39     1.01%     140.05     136.85
         50  2019-06-27    134.15       27       23        4.95     3.69%     141.34     137.19
        100  2019-04-16    120.77       56       44       18.33    15.18%     141.34     132.70
        200  2018-11-19    104.62      112       88       34.48    32.96%     141.34     120.93
        500  2017-09-12     74.68      273      225       64.42    86.26%     141.34     105.63
       1000  2015-09-17     44.25      536      456       94.85   214.35%     141.34      82.40
